LGD-Nummer;Name;Datum;Abstich [m];Hinweis;Wasserstand [m über NHN2016];Flurabstand [m];Geländeoberkante [m über NHN2016];Messpunkthöhe [m über NHN2016];Wasserwirtschaftsjahr
110060143;VI/14 - HANDORF -  ;1980-02-04;1,64;;50,68;1,44;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-02-11;1,67;;50,65;1,47;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-02-18;1,84;;50,48;1,64;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-02-25;1,91;;50,41;1,71;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-03-03;1,95;;50,37;1,75;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-03-10;2,09;;50,23;1,89;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-03-17;1,95;;50,37;1,75;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-03-24;1,54;;50,78;1,34;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-03-31;1,23;;51,09;1,03;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-04-07;1,37;;50,95;1,17;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-04-14;1,44;;50,88;1,24;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-04-21;1,50;;50,82;1,30;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-04-28;1,54;;50,78;1,34;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-05-05;1,69;;50,63;1,49;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-05-12;1,84;;50,48;1,64;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-05-19;1,92;;50,40;1,72;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-05-26;2,14;;50,18;1,94;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-06-02;2,17;;50,15;1,97;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-06-09;2,33;;49,99;2,13;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-06-16;2,32;;50,00;2,12;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-06-23;2,49;;49,83;2,29;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-06-30;2,34;;49,98;2,14;52,12;52,32;1980
110060143;VI/14 - HANDORF -  ;1980-07-07;2,14;;50,18;1,94;52,12;52,32;1980
